set;ANG1;ANG2;ANG3;ANG4;TSAI1;TSAI2;TSAI3;TSAI4;TSAI5;TSAI6;TSAI7;TSAI8;TSAI9;TSAI10;TSAI11;TSAI12;TK;MTSAI;TVOL
159;177,562;122,569;138,698;78,8292;1,49313;1,39767;1,43241;0,932321;1,04423;1,01081;0,969393;0,823892;0,892601;1,27915;1,36148;1,29394;27,2078;1,49313;2,67E+07
160;17,4458;76,011;73,1952;166,294;1,6353;0,993484;1,00925;0,973281;0,858129;0,87761;0,862045;0,757302;0,798855;1,0725;1,17736;1,36633;23,7887;1,6353;2,34E+07
161;14,8126;136,25;106,208;77,0908;1,24887;1,12032;1,12512;0,861169;0,930262;0,906322;0,887794;0,853285;0,603534;0,769495;0,822573;0,579987;24,3512;1,24887;2,39E+07
162;142,49;178,77;100,63;61,89;0,538046;0,762075;0,354914;0,409253;0,613536;0,657399;0,635054;0,574746;0,381597;0,183488;0,566568;0,411893;27,3737;0,762075;2,69E+07
163;143,452;6,4515;130,833;100,559;3,52486;3,35637;3,06814;2,26734;2,36171;3,00721;2,93262;2,15363;1,9827;2,61998;2,68512;3,05681;12,9918;3,52486;1,28E+07
164;108,875;86,9188;73,2766;88,8925;14,8172;14,411;13,9893;13,4953;13,182;12,7356;12,3895;12,2094;12,4831;13,11;14,2818;15,0051;14,5554;15,0051;1,43E+07
165;50,9018;28,527;147,981;47,2327;5,52394;6,20614;5,65908;5,29216;4,78785;5,73815;5,62657;4,51669;4,86891;5,10973;5,46781;5,52816;11,0312;6,20614;1,08E+07
166;58,5977;149,034;71,0153;98,4669;1,31436;1,0994;1,39851;1,66566;1,43424;0,822202;0,763533;1,2074;1,23982;0,832354;0,633687;0,529474;24,2079;1,66566;2,38E+07
167;127,641;4,44635;90,2458;42,1554;0,541327;0,896608;0,666091;0,741666;0,650049;0,760776;0,734657;0,62734;0,685809;0,384564;0,655642;0,341439;23,9505;0,896608;2,35E+07
168;88,711;87,1739;132,195;127,902;7,76966;7,14828;6,41859;6,10221;5,86028;5,36041;4,97645;4,70687;4,26425;3,91531;4,13661;4,3245;28,2053;7,76966;2,77E+07
169;67,1881;2,18128;56,2828;125,295;11,6713;8,24879;7,34443;4,49593;4,11324;5,10554;4,88168;3,67301;3,83286;4,25902;4,89238;5,59635;5,47284;11,6713;5,37E+06
170;4,97838;133,496;141,698;99,9931;40,7986;31,3097;28,8615;25,1361;23,6899;21,5458;24,1332;34,9347;53,7592;60,2783;84,9442;144,077;7,08651;144,077;6,96E+06
171;76,6993;11,7028;103,232;11,457;1,0626;0,765733;0,578723;0,716471;0,504724;0,678333;0,66081;0,405187;0,627873;0,389977;0,601712;0,632559;22,497;1,0626;2,21E+07
172;60,5441;17,8533;24,2521;102,292;1,07482;0,664301;0,653945;0,546339;0,347575;0,592509;0,576971;0,330894;0,35128;0,556548;0,535051;0,49303;25,0005;1,07482;2,46E+07
173;90,4038;156,555;30,999;97,7782;1,38935;1,03362;0,798804;1,20964;1,09981;0,854024;0,812208;0,914225;0,900975;0,503351;0,730349;0,70348;19,5945;1,38935;1,92E+07
174;53,7522;76,5055;55,2352;5,31542;1,67657;1,67688;1,28413;1,23726;0,868448;1,21279;1,11956;0,63807;0,81769;0,836994;0,791395;0,857554;23,9799;1,67688;2,36E+07
175;17,0717;158,726;132,319;127,936;14,9741;14,8021;14,0756;13,5834;13,5211;13,1301;12,7933;15,0847;19,0382;22,5219;25,2791;31,5999;13,1749;31,5999;1,29E+07
176;139,055;145,793;163,648;88,4966;7,299;5,02184;3,79069;3,14204;2,74719;3,02195;2,97893;2,44888;2,04497;3,01688;2,85377;2,74476;10,2495;7,299;1,01E+07
177;109,906;56,1631;23,8273;9,7186;3,73132;3,94971;3,01297;2,76237;3,47462;3,1013;2,91493;2,87824;1,7995;2,03992;2,26058;2,01699;17,3973;3,94971;1,71E+07
178;122,54;41,4322;73,1433;56,9377;2,11847;1,86846;2,44708;1,98137;1,83836;1,4613;1,40421;1,45847;1,39784;1,37623;1,20478;0,91597;28,7704;2,44708;2,83E+07
179;121,059;168,972;101,187;31,2185;0,710674;0,846463;0,486593;0,653908;0,4259;0,752193;0,730392;0,41729;0,595176;0,331227;0,663756;0,471888;21,8249;0,846463;2,14E+07
180;73,426;45,6625;60,1089;178,84;3,54327;3,23199;2,79634;2,29027;2,21641;2,03385;1,88859;1,66452;2,05342;2,08641;2,31647;2,43351;19,4941;3,54327;1,92E+07
181;152,519;82,3911;69,949;124,682;0,629675;0,936569;0,774815;0,67145;0,623777;0,766625;0,731765;0,555121;0,510133;0,541827;0,604413;0,404621;22,4273;0,936569;2,20E+07
182;111,295;152,64;0,778605;84,5332;2,85654;2,15135;2,17282;2,10707;1,60169;1,55488;1,45982;1,25165;1,49889;1,24021;1,34393;1,4666;14,171;2,85654;1,39E+07
183;142,729;104,858;125,181;12,7682;3,15534;2,53888;1,75436;1,61068;1,0645;1,4747;1,35952;1,08959;1,36811;1,68635;1,79808;2,02945;15,1966;3,15534;1,49E+07
184;20,3998;95,4384;178,109;113,767;7,93238;7,24833;7,17926;7,15704;6,96;5,28366;5,21618;6,06868;6,88124;10,4813;13,1238;16,076;7,73401;16,076;7,60E+06
185;139,009;99,9126;86,056;144,798;0,887757;1,09143;0,971585;0,571341;0,370579;0,813145;0,752591;0,321727;0,413611;0,566419;0,539917;0,447591;33,7848;1,09143;3,32E+07
186;21,4431;136,65;128,505;106,418;69,0802;60,4463;55,735;52,7626;47,7505;43,3688;42,0108;48,6683;73,5346;95,4566;127,435;208,01;4,40775;208,01;4,33E+06
187;173,218;94,455;61,152;118,769;1,21865;1,21614;0,91675;0,952993;0,972309;0,991592;0,940529;0,810888;0,837315;0,658908;0,754476;0,755645;16,5224;1,21865;1,62E+07
188;153,121;82,8007;69,8259;124,519;0,621107;0,91775;0,759993;0,660956;0,627313;0,756569;0,722836;0,558573;0,504898;0,533955;0,599562;0,409237;22,3269;0,91775;2,19E+07
189;152,519;82,3911;69,949;124,682;0,629675;0,936569;0,774815;0,67145;0,623777;0,766625;0,731765;0,555121;0,510133;0,541827;0,604413;0,404621;22,4273;0,936569;2,20E+07
190;111,295;152,64;0,778605;84,5332;2,85654;2,15135;2,17282;2,10707;1,60169;1,55488;1,45982;1,25165;1,49889;1,24021;1,34393;1,4666;14,171;2,85654;1,39E+07
191;142,729;104,858;125,181;12,7682;3,15534;2,53888;1,75436;1,61068;1,0645;1,4747;1,35952;1,08959;1,36811;1,68635;1,79808;2,02945;15,1966;3,15534;1,49E+07
192;20,3998;95,4384;178,109;113,767;7,93238;7,24833;7,17926;7,15704;6,96;5,28366;5,21618;6,06868;6,88124;10,4813;13,1238;16,076;7,73401;16,076;7,60E+06
193;139,009;99,9126;86,056;144,798;0,887757;1,09143;0,971585;0,571341;0,370579;0,813145;0,752591;0,321727;0,413611;0,566419;0,539917;0,447591;33,7848;1,09143;3,32E+07
194;21,4431;136,65;128,505;106,418;69,0802;60,4463;55,735;52,7626;47,7505;43,3688;42,0108;48,6683;73,5346;95,4566;127,435;208,01;4,40775;208,01;4,33E+06
195;173,218;94,455;61,152;118,769;1,21865;1,21614;0,91675;0,952993;0,972309;0,991592;0,940529;0,810888;0,837315;0,658908;0,754476;0,755645;16,5224;1,21865;1,62E+07
196;153,121;82,8007;69,8259;124,519;0,621107;0,91775;0,759993;0,660956;0,627313;0,756569;0,722836;0,558573;0,504898;0,533955;0,599562;0,409237;22,3269;0,91775;2,19E+07
197;152,519;82,3911;69,949;124,682;0,629675;0,936569;0,774815;0,67145;0,623777;0,766625;0,731765;0,555121;0,510133;0,541827;0,604413;0,404621;22,4273;0,936569;2,20E+07
198;111,295;152,64;0,778605;84,5332;2,85654;2,15135;2,17282;2,10707;1,60169;1,55488;1,45982;1,25165;1,49889;1,24021;1,34393;1,4666;14,171;2,85654;1,39E+07
199;142,729;104,858;125,181;12,7682;3,15534;2,53888;1,75436;1,61068;1,0645;1,4747;1,35952;1,08959;1,36811;1,68635;1,79808;2,02945;15,1966;3,15534;1,49E+07
200;20,3998;95,4384;178,109;113,767;7,93238;7,24833;7,17926;7,15704;6,96;5,28366;5,21618;6,06868;6,88124;10,4813;13,1238;16,076;7,73401;16,076;7,60E+06
201;139,009;99,9126;86,056;144,798;0,887757;1,09143;0,971585;0,571341;0,370579;0,813145;0,752591;0,321727;0,413611;0,566419;0,539917;0,447591;33,7848;1,09143;3,32E+07
202;21,4431;136,65;128,505;106,418;69,0802;60,4463;55,735;52,7626;47,7505;43,3688;42,0108;48,6683;73,5346;95,4566;127,435;208,01;4,40775;208,01;4,33E+06
203;173,218;94,455;61,152;118,769;1,21865;1,21614;0,91675;0,952993;0,972309;0,991592;0,940529;0,810888;0,837315;0,658908;0,754476;0,755645;16,5224;1,21865;1,62E+07
204;153,121;82,8007;69,8259;124,519;0,621107;0,91775;0,759993;0,660956;0,627313;0,756569;0,722836;0,558573;0,504898;0,533955;0,599562;0,409237;22,3269;0,91775;2,19E+07
