set;ANG1;ANG2;ANG3;ANG4;TSAI1;TSAI2;TSAI3;TSAI4;TSAI5;TSAI6;TSAI7;TSAI8;TSAI9;TSAI10;TSAI11;TSAI12;TK;MTSAI;TVOL
62;135,798;108,962;134,429;19,1891;1,69022;1,80552;1,26671;1,01248;0,731648;0,982562;0,989866;0,724714;0,842782;1,0564;1,11618;1,20453;19,3749;1,80552;1,90E+07
63;131,582;69,7135;172,239;13,5371;1,39046;1,35097;1,48925;1,58213;1,3675;1,00385;0,992752;1,30352;1,39273;1,11525;0,964216;0,840262;17,8765;1,58213;1,76E+07
64;80,9075;169,396;145,435;35,7392;0,280171;0,405226;0,379439;0,331755;0,240585;0,354137;0,342935;0,186719;0,279025;0,310464;0,303422;0,112665;37,9694;0,405226;3,73E+07
65;9,57141;79,8066;125,6;34,8006;1,69396;1,16022;0,788496;1,34673;1,27225;0,927274;0,875621;1,03708;1,25844;0,722152;0,854693;1,1501;14,6471;1,69396;1,44E+07
66;163,054;91,4671;133,319;27,8403;1,16432;0,872132;0,980544;0,779759;0,870854;0,667906;0,621409;0,774436;0,718362;0,884138;0,472485;0,936872;17,2715;1,16432;1,70E+07
67;62,6065;26,1609;106,482;15,0715;0,673642;0,461724;0,392593;0,422439;0,227108;0,403694;0,392988;0,187;0,367654;0,187654;0,356414;0,318887;33,1012;0,673642;3,25E+07
68;92,2923;15,7904;177,713;105,618;0,569497;0,583941;0,545253;0,375082;0,448931;0,518106;0,504267;0,357832;0,338649;0,451716;0,454116;0,33707;27,0971;0,583941;2,66E+07
69;42,274;86,6546;67,6931;16,4441;0,680494;0,700792;0,613345;0,454199;0,251769;0,528607;0,491096;0,22546;0,35474;0,360113;0,358975;0,361863;37,9785;0,700792;3,73E+07
70;74,3938;81,092;145,742;121,05;2,1292;2,12716;1,52865;1,94557;1,95989;1,63008;1,52358;1,63627;1,43961;0,981864;1,15458;0,962424;37,4017;2,1292;3,68E+07
71;146,558;43,7734;46,6497;56,804;1,6703;1,77116;1,64714;1,36868;1,79149;1,55315;1,52274;1,63755;1,65583;1,76889;1,8801;1,66486;32,9988;1,8801;3,24E+07
72;156,422;123,201;128,155;47,7786;1,34206;0,830014;0,884392;0,464085;0,81158;0,712899;0,687569;0,733162;0,547082;0,836341;0,892737;0,956724;27,0998;1,34206;2,66E+07
73;114,711;101,265;154,751;10,728;1,52656;1,53234;1,27413;1,05748;0,989476;1,18559;1,10758;0,782073;0,746756;0,811112;0,826009;0,779944;20,255;1,53234;1,99E+07
74;71,8664;168,801;147,055;27,7224;0,227621;0,513569;0,458283;0,416167;0,222985;0,450696;0,436757;0,199884;0,349597;0,380142;0,392761;0,129114;36,4917;0,513569;3,59E+07
75;83,9686;37,6052;157,76;99,1559;1,02665;0,837859;0,58626;0,80841;0,785741;0,686549;0,651565;0,659828;0,600152;0,443649;0,521639;0,559122;26,1247;1,02665;2,57E+07
76;163,717;73,6365;78,9826;136,158;0,602296;0,641449;0,642911;0,457524;0,676295;0,495846;0,463383;0,624874;0,344717;0,402461;0,39379;0,354631;24,9116;0,676295;2,45E+07
